"Result"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"Density"	"StagnationEnergy"	"Pressure"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
nan	nan	nan	nan	nan	nan	nan	0	0.00000e+00	-3.80000e-01	0.00000e+00	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.00000e-03	-3.80000e-01	1.00000e-03	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	2.00000e-03	-3.80000e-01	2.00000e-03	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	3.00000e-03	-3.80000e-01	3.00000e-03	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	4.00000e-03	-3.80000e-01	4.00000e-03	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	5.00000e-03	-3.80000e-01	5.00000e-03	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	6.00000e-03	-3.80000e-01	6.00000e-03	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	7.00000e-03	-3.80000e-01	7.00000e-03	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	8.00000e-03	-3.80000e-01	8.00000e-03	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	9.00000e-03	-3.80000e-01	9.00000e-03	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.00000e-02	-3.80000e-01	1.00000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.10000e-02	-3.80000e-01	1.10000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.20000e-02	-3.80000e-01	1.20000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.30000e-02	-3.80000e-01	1.30000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.40000e-02	-3.80000e-01	1.40000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.50000e-02	-3.80000e-01	1.50000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.60000e-02	-3.80000e-01	1.60000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.70000e-02	-3.80000e-01	1.70000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.80000e-02	-3.80000e-01	1.80000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.90000e-02	-3.80000e-01	1.90000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	2.00000e-02	-3.80000e-01	2.00000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	2.10000e-02	-3.80000e-01	2.10000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	2.20000e-02	-3.80000e-01	2.20000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	2.30000e-02	-3.80000e-01	2.30000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	2.40000e-02	-3.80000e-01	2.40000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	2.50000e-02	-3.80000e-01	2.50000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	2.60000e-02	-3.80000e-01	2.60000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	2.70000e-02	-3.80000e-01	2.70000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	2.80000e-02	-3.80000e-01	2.80000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	2.90000e-02	-3.80000e-01	2.90000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	3.00000e-02	-3.80000e-01	3.00000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	3.10000e-02	-3.80000e-01	3.10000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	3.20000e-02	-3.80000e-01	3.20000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	3.30000e-02	-3.80000e-01	3.30000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	3.40000e-02	-3.80000e-01	3.40000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	3.50000e-02	-3.80000e-01	3.50000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	3.60000e-02	-3.80000e-01	3.60000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	3.70000e-02	-3.80000e-01	3.70000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	3.80000e-02	-3.80000e-01	3.80000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	3.90000e-02	-3.80000e-01	3.90000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	4.00000e-02	-3.80000e-01	4.00000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	4.10000e-02	-3.80000e-01	4.10000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	4.20000e-02	-3.80000e-01	4.20000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	4.30000e-02	-3.80000e-01	4.30000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	4.40000e-02	-3.80000e-01	4.40000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	4.50000e-02	-3.80000e-01	4.50000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	4.60000e-02	-3.80000e-01	4.60000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	4.70000e-02	-3.80000e-01	4.70000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	4.80000e-02	-3.80000e-01	4.80000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	4.90000e-02	-3.80000e-01	4.90000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	5.00000e-02	-3.80000e-01	5.00000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	5.10000e-02	-3.80000e-01	5.10000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	5.20000e-02	-3.80000e-01	5.20000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	5.30000e-02	-3.80000e-01	5.30000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	5.40000e-02	-3.80000e-01	5.40000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	5.50000e-02	-3.80000e-01	5.50000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	5.60000e-02	-3.80000e-01	5.60000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	5.70000e-02	-3.80000e-01	5.70000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	5.80000e-02	-3.80000e-01	5.80000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	5.90000e-02	-3.80000e-01	5.90000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	6.00000e-02	-3.80000e-01	6.00000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	6.10000e-02	-3.80000e-01	6.10000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	6.20000e-02	-3.80000e-01	6.20000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	6.30000e-02	-3.80000e-01	6.30000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	6.40000e-02	-3.80000e-01	6.40000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	6.50000e-02	-3.80000e-01	6.50000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	6.60000e-02	-3.80000e-01	6.60000e-02	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	6.70000e-02	-3.80000e-01	6.70000e-02	-8.25000e-02
