x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	M5	
-0.50000 	 0.02312 	-0.51497 	 0.02471 	-0.50000 	 0.02474 	-0.48503 	 0.03574 	-0.50000 	 0.02485 	-0.51497 	 0.02468 	-0.50000 	 0.02334 	-0.48503 	 0.03144 	-0.50000 	 0.02312 	 
-0.49995 	 0.00632 	-0.51492 	 0.00131 	-0.49995 	 0.00627 	-0.48498 	 0.00293 	-0.49995 	 0.00627 	-0.51492 	 0.00132 	-0.49995 	 0.00580 	-0.48498 	 0.00111 	-0.49995 	 0.00632 	 
-0.49979 	 0.01152 	-0.51476 	 0.00731 	-0.49979 	 0.01246 	-0.48481 	 0.00915 	-0.49979 	 0.01246 	-0.51476 	 0.00730 	-0.49979 	 0.01151 	-0.48481 	 0.00563 	-0.49979 	 0.01152 	 
-0.49952 	 0.01698 	-0.51450 	 0.01626 	-0.49952 	 0.01862 	-0.48454 	 0.01821 	-0.49952 	 0.01863 	-0.51450 	 0.01624 	-0.49952 	 0.01714 	-0.48454 	 0.01234 	-0.49952 	 0.01698 	 
-0.49915 	 0.01792 	-0.51413 	 0.01945 	-0.49915 	 0.01975 	-0.48417 	 0.01894 	-0.49915 	 0.01976 	-0.51413 	 0.01942 	-0.49915 	 0.01800 	-0.48417 	 0.01135 	-0.49915 	 0.01792 	 
-0.49867 	 0.01975 	-0.51366 	 0.02323 	-0.49867 	 0.02194 	-0.48368 	 0.01998 	-0.49867 	 0.02195 	-0.51366 	 0.02319 	-0.49867 	 0.01987 	-0.48368 	 0.01083 	-0.49867 	 0.01975 	 
-0.49809 	 0.02076 	-0.51309 	 0.02607 	-0.49809 	 0.02321 	-0.48309 	 0.01962 	-0.49809 	 0.02323 	-0.51309 	 0.02602 	-0.49809 	 0.02085 	-0.48309 	 0.00921 	-0.49809 	 0.02076 	 
-0.49741 	 0.02095 	-0.51241 	 0.02756 	-0.49741 	 0.02367 	-0.48240 	 0.01753 	-0.49741 	 0.02369 	-0.51241 	 0.02751 	-0.49741 	 0.02104 	-0.48240 	 0.00644 	-0.49741 	 0.02095 	 
-0.49663 	 0.02095 	-0.51165 	 0.02859 	-0.49663 	 0.02395 	-0.48161 	 0.01501 	-0.49663 	 0.02397 	-0.51165 	 0.02853 	-0.49663 	 0.02102 	-0.48161 	 0.00395 	-0.49663 	 0.02095 	 
-0.49580 	 0.02039 	-0.51083 	 0.02879 	-0.49580 	 0.02368 	-0.48077 	 0.01184 	-0.49580 	 0.02370 	-0.51083 	 0.02872 	-0.49580 	 0.02045 	-0.48077 	 0.00165 	-0.49580 	 0.02039 	 
-0.49497 	 0.01970 	-0.51001 	 0.02865 	-0.49497 	 0.02328 	-0.47993 	 0.00881 	-0.49497 	 0.02329 	-0.51001 	 0.02858 	-0.49497 	 0.01975 	-0.47993 	 0.00015 	-0.49497 	 0.01970 	 
-0.49415 	 0.01883 	-0.50920 	 0.02828 	-0.49415 	 0.02271 	-0.47909 	 0.00614 	-0.49415 	 0.02272 	-0.50920 	 0.02819 	-0.49415 	 0.01887 	-0.47909 	 -0.00078 	-0.49415 	 0.01883 	 
-0.49331 	 0.01783 	-0.50837 	 0.02768 	-0.49331 	 0.02203 	-0.47825 	 0.00379 	-0.49331 	 0.02204 	-0.50837 	 0.02759 	-0.49331 	 0.01786 	-0.47825 	 -0.00141 	-0.49331 	 0.01783 	 
-0.49247 	 0.01680 	-0.50754 	 0.02705 	-0.49247 	 0.02134 	-0.47740 	 0.00204 	-0.49247 	 0.02134 	-0.50754 	 0.02695 	-0.49247 	 0.01682 	-0.47740 	 -0.00168 	-0.49247 	 0.01680 	 
-0.49162 	 0.01567 	-0.50670 	 0.02633 	-0.49162 	 0.02056 	-0.47654 	 0.00069 	-0.49162 	 0.02056 	-0.50670 	 0.02623 	-0.49162 	 0.01568 	-0.47654 	 -0.00180 	-0.49162 	 0.01567 	 
-0.49077 	 0.01452 	-0.50586 	 0.02560 	-0.49077 	 0.01978 	-0.47567 	 -0.00023 	-0.49077 	 0.01978 	-0.50586 	 0.02548 	-0.49077 	 0.01452 	-0.47567 	 -0.00172 	-0.49077 	 0.01452 	 
-0.48990 	 0.01333 	-0.50500 	 0.02484 	-0.48990 	 0.01898 	-0.47479 	 -0.00089 	-0.48990 	 0.01898 	-0.50500 	 0.02472 	-0.48990 	 0.01332 	-0.47479 	 -0.00156 	-0.48990 	 0.01333 	 
-0.48902 	 0.01213 	-0.50413 	 0.02406 	-0.48902 	 0.01818 	-0.47390 	 -0.00137 	-0.48902 	 0.01818 	-0.50413 	 0.02393 	-0.48902 	 0.01211 	-0.47390 	 -0.00139 	-0.48902 	 0.01213 	 
-0.48813 	 0.01092 	-0.50325 	 0.02330 	-0.48813 	 0.01738 	-0.47300 	 -0.00170 	-0.48813 	 0.01738 	-0.50325 	 0.02316 	-0.48813 	 0.01089 	-0.47300 	 -0.00121 	-0.48813 	 0.01092 	 
-0.48722 	 0.00972 	-0.50235 	 0.02255 	-0.48722 	 0.01659 	-0.47209 	 -0.00191 	-0.48722 	 0.01659 	-0.50235 	 0.02240 	-0.48722 	 0.00969 	-0.47209 	 -0.00107 	-0.48722 	 0.00972 	 
-0.48630 	 0.00855 	-0.50144 	 0.02182 	-0.48630 	 0.01581 	-0.47116 	 -0.00196 	-0.48630 	 0.01582 	-0.50144 	 0.02165 	-0.48630 	 0.00851 	-0.47116 	 -0.00092 	-0.48630 	 0.00855 	 
-0.48536 	 0.00742 	-0.50051 	 0.02107 	-0.48536 	 0.01505 	-0.47021 	 -0.00189 	-0.48536 	 0.01505 	-0.50051 	 0.02089 	-0.48536 	 0.00738 	-0.47021 	 -0.00080 	-0.48536 	 0.00742 	 
-0.48441 	 0.00637 	-0.49956 	 0.02035 	-0.48441 	 0.01431 	-0.46924 	 -0.00176 	-0.48441 	 0.01431 	-0.49956 	 0.02016 	-0.48441 	 0.00632 	-0.46924 	 -0.00071 	-0.48441 	 0.00637 	 
-0.48343 	 0.00542 	-0.49860 	 0.01966 	-0.48343 	 0.01360 	-0.46826 	 -0.00160 	-0.48343 	 0.01361 	-0.49860 	 0.01946 	-0.48343 	 0.00537 	-0.46826 	 -0.00064 	-0.48343 	 0.00542 	 
-0.48244 	 0.00457 	-0.49761 	 0.01897 	-0.48244 	 0.01292 	-0.46726 	 -0.00145 	-0.48244 	 0.01292 	-0.49761 	 0.01875 	-0.48244 	 0.00452 	-0.46726 	 -0.00061 	-0.48244 	 0.00457 	 
-0.48142 	 0.00382 	-0.49660 	 0.01831 	-0.48142 	 0.01228 	-0.46624 	 -0.00131 	-0.48142 	 0.01228 	-0.49660 	 0.01806 	-0.48142 	 0.00376 	-0.46624 	 -0.00061 	-0.48142 	 0.00382 	 
-0.48038 	 0.00311 	-0.49556 	 0.01766 	-0.48038 	 0.01167 	-0.46519 	 -0.00119 	-0.48038 	 0.01167 	-0.49556 	 0.01739 	-0.48038 	 0.00305 	-0.46519 	 -0.00060 	-0.48038 	 0.00311 	 
-0.47932 	 0.00243 	-0.49451 	 0.01702 	-0.47932 	 0.01110 	-0.46412 	 -0.00108 	-0.47932 	 0.01110 	-0.49451 	 0.01673 	-0.47932 	 0.00237 	-0.46412 	 -0.00058 	-0.47932 	 0.00243 	 
-0.47823 	 0.00177 	-0.49343 	 0.01640 	-0.47823 	 0.01056 	-0.46303 	 -0.00098 	-0.47823 	 0.01056 	-0.49343 	 0.01609 	-0.47823 	 0.00171 	-0.46303 	 -0.00053 	-0.47823 	 0.00177 	 
-0.47712 	 0.00115 	-0.49232 	 0.01580 	-0.47712 	 0.01004 	-0.46191 	 -0.00089 	-0.47712 	 0.01005 	-0.49232 	 0.01545 	-0.47712 	 0.00108 	-0.46191 	 -0.00040 	-0.47712 	 0.00115 	 
-0.47598 	 0.00060 	-0.49118 	 0.01520 	-0.47598 	 0.00957 	-0.46077 	 -0.00081 	-0.47598 	 0.00957 	-0.49118 	 0.01482 	-0.47598 	 0.00053 	-0.46077 	 -0.00012 	-0.47598 	 0.00060 	 
-0.47481 	 0.00015 	-0.49002 	 0.01462 	-0.47481 	 0.00912 	-0.45959 	 -0.00074 	-0.47481 	 0.00913 	-0.49002 	 0.01421 	-0.47481 	 0.00007 	-0.45959 	 0.00032 	-0.47481 	 0.00015 	 
-0.47362 	 -0.00019 	-0.48883 	 0.01405 	-0.47362 	 0.00871 	-0.45840 	 -0.00068 	-0.47362 	 0.00872 	-0.48883 	 0.01360 	-0.47362 	 -0.00027 	-0.45840 	 0.00077 	-0.47362 	 -0.00019 	 
-0.47239 	 -0.00040 	-0.48760 	 0.01349 	-0.47239 	 0.00834 	-0.45717 	 -0.00062 	-0.47239 	 0.00834 	-0.48760 	 0.01299 	-0.47239 	 -0.00051 	-0.45717 	 0.00114 	-0.47239 	 -0.00040 	 
-0.47114 	 -0.00052 	-0.48635 	 0.01293 	-0.47114 	 0.00799 	-0.45591 	 -0.00057 	-0.47114 	 0.00800 	-0.48635 	 0.01239 	-0.47114 	 -0.00066 	-0.45591 	 0.00133 	-0.47114 	 -0.00052 	 
-0.46985 	 -0.00056 	-0.48507 	 0.01238 	-0.46985 	 0.00767 	-0.45463 	 -0.00052 	-0.46985 	 0.00767 	-0.48507 	 0.01179 	-0.46985 	 -0.00073 	-0.45463 	 0.00136 	-0.46985 	 -0.00056 	 
-0.46853 	 -0.00055 	-0.48375 	 0.01184 	-0.46853 	 0.00736 	-0.45331 	 -0.00047 	-0.46853 	 0.00737 	-0.48375 	 0.01119 	-0.46853 	 -0.00073 	-0.45331 	 0.00133 	-0.46853 	 -0.00055 	 
-0.46718 	 -0.00049 	-0.48240 	 0.01130 	-0.46718 	 0.00706 	-0.45196 	 -0.00043 	-0.46718 	 0.00707 	-0.48240 	 0.01060 	-0.46718 	 -0.00070 	-0.45196 	 0.00146 	-0.46718 	 -0.00049 	 
-0.46580 	 -0.00037 	-0.48101 	 0.01075 	-0.46580 	 0.00679 	-0.45057 	 -0.00038 	-0.46580 	 0.00679 	-0.48101 	 0.00999 	-0.46580 	 -0.00064 	-0.45057 	 0.00181 	-0.46580 	 -0.00037 	 
-0.46438 	 -0.00021 	-0.47959 	 0.01021 	-0.46438 	 0.00652 	-0.44916 	 -0.00032 	-0.46438 	 0.00653 	-0.47959 	 0.00939 	-0.46438 	 -0.00053 	-0.44916 	 0.00201 	-0.46438 	 -0.00021 	 
-0.46292 	 -0.00005 	-0.47813 	 0.00966 	-0.46292 	 0.00628 	-0.44771 	 -0.00026 	-0.46292 	 0.00628 	-0.47813 	 0.00878 	-0.46292 	 -0.00034 	-0.44771 	 0.00171 	-0.46292 	 -0.00005 	 
-0.46143 	 0.00007 	-0.47664 	 0.00911 	-0.46143 	 0.00606 	-0.44622 	 -0.00024 	-0.46143 	 0.00606 	-0.47664 	 0.00818 	-0.46143 	 -0.00009 	-0.44622 	 0.00116 	-0.46143 	 0.00007 	 
-0.45991 	 0.00017 	-0.47511 	 0.00855 	-0.45991 	 0.00587 	-0.44470 	 -0.00026 	-0.45991 	 0.00586 	-0.47511 	 0.00757 	-0.45991 	 0.00014 	-0.44470 	 0.00074 	-0.45991 	 0.00017 	 
-0.45835 	 0.00031 	-0.47354 	 0.00799 	-0.45835 	 0.00570 	-0.44314 	 -0.00031 	-0.45835 	 0.00569 	-0.47354 	 0.00696 	-0.45835 	 0.00033 	-0.44314 	 0.00052 	-0.45835 	 0.00031 	 
-0.45675 	 0.00051 	-0.47194 	 0.00742 	-0.45675 	 0.00555 	-0.44155 	 -0.00038 	-0.45675 	 0.00554 	-0.47194 	 0.00635 	-0.45675 	 0.00051 	-0.44155 	 0.00041 	-0.45675 	 0.00051 	 
-0.45511 	 0.00077 	-0.47029 	 0.00684 	-0.45511 	 0.00542 	-0.43991 	 -0.00048 	-0.45511 	 0.00541 	-0.47029 	 0.00574 	-0.45511 	 0.00074 	-0.43991 	 0.00042 	-0.45511 	 0.00077 	 
-0.45343 	 0.00103 	-0.46861 	 0.00625 	-0.45343 	 0.00530 	-0.43824 	 -0.00060 	-0.45343 	 0.00530 	-0.46861 	 0.00514 	-0.45343 	 0.00095 	-0.43824 	 0.00048 	-0.45343 	 0.00103 	 
-0.45171 	 0.00116 	-0.46688 	 0.00564 	-0.45171 	 0.00518 	-0.43653 	 -0.00063 	-0.45171 	 0.00520 	-0.46688 	 0.00452 	-0.45171 	 0.00107 	-0.43653 	 0.00050 	-0.45171 	 0.00116 	 
-0.44996 	 0.00118 	-0.46512 	 0.00501 	-0.44996 	 0.00504 	-0.43479 	 -0.00053 	-0.44996 	 0.00509 	-0.46512 	 0.00389 	-0.44996 	 0.00105 	-0.43479 	 0.00051 	-0.44996 	 0.00118 	 
-0.44816 	 0.00115 	-0.46331 	 0.00436 	-0.44816 	 0.00485 	-0.43300 	 -0.00040 	-0.44816 	 0.00497 	-0.46331 	 0.00325 	-0.44816 	 0.00093 	-0.43300 	 0.00067 	-0.44816 	 0.00115 	 
-0.44632 	 0.00110 	-0.46146 	 0.00369 	-0.44632 	 0.00458 	-0.43117 	 -0.00038 	-0.44632 	 0.00480 	-0.46146 	 0.00265 	-0.44632 	 0.00079 	-0.43117 	 0.00114 	-0.44632 	 0.00110 	 
-0.44444 	 0.00098 	-0.45957 	 0.00304 	-0.44444 	 0.00419 	-0.42930 	 -0.00055 	-0.44444 	 0.00456 	-0.45957 	 0.00213 	-0.44444 	 0.00071 	-0.42930 	 0.00173 	-0.44444 	 0.00098 	 
-0.44252 	 0.00080 	-0.45763 	 0.00242 	-0.44252 	 0.00368 	-0.42739 	 -0.00087 	-0.44252 	 0.00425 	-0.45763 	 0.00173 	-0.44252 	 0.00070 	-0.42739 	 0.00210 	-0.44252 	 0.00080 	 
-0.44056 	 0.00061 	-0.45566 	 0.00187 	-0.44056 	 0.00312 	-0.42544 	 -0.00116 	-0.44056 	 0.00388 	-0.45566 	 0.00149 	-0.44056 	 0.00072 	-0.42544 	 0.00225 	-0.44056 	 0.00061 	 
-0.43855 	 0.00051 	-0.45364 	 0.00145 	-0.43855 	 0.00265 	-0.42345 	 -0.00128 	-0.43855 	 0.00350 	-0.45364 	 0.00140 	-0.43855 	 0.00084 	-0.42345 	 0.00227 	-0.43855 	 0.00051 	 
-0.43650 	 0.00060 	-0.45157 	 0.00121 	-0.43650 	 0.00235 	-0.42142 	 -0.00136 	-0.43650 	 0.00314 	-0.45157 	 0.00144 	-0.43650 	 0.00108 	-0.42142 	 0.00227 	-0.43650 	 0.00060 	 
-0.43441 	 0.00077 	-0.44946 	 0.00109 	-0.43441 	 0.00223 	-0.41934 	 -0.00194 	-0.43441 	 0.00284 	-0.44946 	 0.00159 	-0.43441 	 0.00130 	-0.41934 	 0.00228 	-0.43441 	 0.00077 	 
-0.43227 	 0.00094 	-0.44730 	 0.00107 	-0.43227 	 0.00218 	-0.41722 	 -0.00350 	-0.43227 	 0.00253 	-0.44730 	 0.00180 	-0.43227 	 0.00144 	-0.41722 	 0.00218 	-0.43227 	 0.00094 	 
-0.43009 	 0.00117 	-0.44510 	 0.00127 	-0.43009 	 0.00215 	-0.41506 	 -0.00557 	-0.43009 	 0.00214 	-0.44510 	 0.00198 	-0.43009 	 0.00160 	-0.41506 	 0.00188 	-0.43009 	 0.00117 	 
-0.42786 	 0.00155 	-0.44286 	 0.00173 	-0.42786 	 0.00209 	-0.41285 	 -0.00721 	-0.42786 	 0.00163 	-0.44286 	 0.00216 	-0.42786 	 0.00188 	-0.41285 	 0.00161 	-0.42786 	 0.00155 	 
-0.42559 	 0.00204 	-0.44057 	 0.00222 	-0.42559 	 0.00194 	-0.41060 	 -0.00807 	-0.42559 	 0.00109 	-0.44057 	 0.00250 	-0.42559 	 0.00218 	-0.41060 	 0.00157 	-0.42559 	 0.00204 	 
-0.42328 	 0.00249 	-0.43823 	 0.00245 	-0.42328 	 0.00167 	-0.40831 	 -0.00815 	-0.42328 	 0.00071 	-0.43823 	 0.00302 	-0.42328 	 0.00228 	-0.40831 	 0.00175 	-0.42328 	 0.00249 	 
-0.42091 	 0.00270 	-0.43585 	 0.00260 	-0.42091 	 0.00159 	-0.40597 	 -0.00777 	-0.42091 	 0.00062 	-0.43585 	 0.00361 	-0.42091 	 0.00211 	-0.40597 	 0.00185 	-0.42091 	 0.00270 	 
-0.41851 	 0.00258 	-0.43342 	 0.00299 	-0.41851 	 0.00199 	-0.40358 	 -0.00738 	-0.41851 	 0.00075 	-0.43342 	 0.00416 	-0.41851 	 0.00189 	-0.40358 	 0.00150 	-0.41851 	 0.00258 	 
-0.41606 	 0.00231 	-0.43094 	 0.00324 	-0.41606 	 0.00246 	-0.40116 	 -0.00688 	-0.41606 	 0.00128 	-0.43094 	 0.00462 	-0.41606 	 0.00173 	-0.40116 	 0.00092 	-0.41606 	 0.00231 	 
-0.41356 	 0.00221 	-0.42842 	 0.00308 	-0.41356 	 0.00232 	-0.39868 	 -0.00588 	-0.41356 	 0.00232 	-0.42842 	 0.00474 	-0.41356 	 0.00152 	-0.39868 	 0.00067 	-0.41356 	 0.00221 	 
-0.41102 	 0.00224 	-0.42585 	 0.00292 	-0.41102 	 0.00197 	-0.39617 	 -0.00405 	-0.41102 	 0.00349 	-0.42585 	 0.00423 	-0.41102 	 0.00133 	-0.39617 	 0.00075 	-0.41102 	 0.00224 	 
-0.40842 	 0.00219 	-0.42323 	 0.00288 	-0.40842 	 0.00232 	-0.39360 	 -0.00114 	-0.40842 	 0.00422 	-0.42323 	 0.00339 	-0.40842 	 0.00148 	-0.39360 	 0.00081 	-0.40842 	 0.00219 	 
-0.40579 	 0.00210 	-0.42057 	 0.00274 	-0.40579 	 0.00340 	-0.39100 	 0.00186 	-0.40579 	 0.00436 	-0.42057 	 0.00293 	-0.40579 	 0.00179 	-0.39100 	 0.00076 	-0.40579 	 0.00210 	 
-0.40311 	 0.00206 	-0.41785 	 0.00261 	-0.40311 	 0.00448 	-0.38834 	 0.00329 	-0.40311 	 0.00426 	-0.41785 	 0.00289 	-0.40311 	 0.00165 	-0.38834 	 0.00069 	-0.40311 	 0.00206 	 
-0.40038 	 0.00194 	-0.41510 	 0.00273 	-0.40038 	 0.00503 	-0.38565 	 0.00298 	-0.40038 	 0.00445 	-0.41510 	 0.00278 	-0.40038 	 0.00123 	-0.38565 	 0.00057 	-0.40038 	 0.00194 	 
-0.39760 	 0.00174 	-0.41229 	 0.00307 	-0.39760 	 0.00514 	-0.38290 	 0.00214 	-0.39760 	 0.00496 	-0.41229 	 0.00241 	-0.39760 	 0.00119 	-0.38290 	 0.00036 	-0.39760 	 0.00174 	 
-0.39478 	 0.00157 	-0.40943 	 0.00333 	-0.39478 	 0.00529 	-0.38011 	 0.00187 	-0.39478 	 0.00561 	-0.40943 	 0.00180 	-0.39478 	 0.00146 	-0.38011 	 0.00014 	-0.39478 	 0.00157 	 
-0.39191 	 0.00146 	-0.40653 	 0.00338 	-0.39191 	 0.00568 	-0.37728 	 0.00224 	-0.39191 	 0.00650 	-0.40653 	 0.00112 	-0.39191 	 0.00151 	-0.37728 	 -0.00009 	-0.39191 	 0.00146 	 
-0.38900 	 0.00141 	-0.40358 	 0.00336 	-0.38900 	 0.00608 	-0.37440 	 0.00238 	-0.38900 	 0.00747 	-0.40358 	 0.00108 	-0.38900 	 0.00116 	-0.37440 	 -0.00045 	-0.38900 	 0.00141 	 
-0.38604 	 0.00129 	-0.40059 	 0.00328 	-0.38604 	 0.00635 	-0.37147 	 0.00217 	-0.38604 	 0.00808 	-0.40059 	 0.00189 	-0.38604 	 0.00036 	-0.37147 	 -0.00092 	-0.38604 	 0.00129 	 
-0.38303 	 0.00100 	-0.39754 	 0.00294 	-0.38303 	 0.00658 	-0.36850 	 0.00250 	-0.38303 	 0.00829 	-0.39754 	 0.00237 	-0.38303 	 -0.00066 	-0.36850 	 -0.00132 	-0.38303 	 0.00100 	 
-0.37997 	 0.00064 	-0.39445 	 0.00247 	-0.37997 	 0.00681 	-0.36548 	 0.00319 	-0.37997 	 0.00838 	-0.39445 	 0.00192 	-0.37997 	 -0.00131 	-0.36548 	 -0.00158 	-0.37997 	 0.00064 	 
-0.37687 	 0.00033 	-0.39131 	 0.00212 	-0.37687 	 0.00705 	-0.36242 	 0.00340 	-0.37687 	 0.00838 	-0.39131 	 0.00156 	-0.37687 	 -0.00141 	-0.36242 	 -0.00182 	-0.37687 	 0.00033 	 
-0.37372 	 -0.00001 	-0.38812 	 0.00196 	-0.37372 	 0.00735 	-0.35931 	 0.00356 	-0.37372 	 0.00824 	-0.38812 	 0.00181 	-0.37372 	 -0.00138 	-0.35931 	 -0.00217 	-0.37372 	 -0.00001 	 
-0.37053 	 -0.00048 	-0.38489 	 0.00196 	-0.37053 	 0.00777 	-0.35616 	 0.00431 	-0.37053 	 0.00821 	-0.38489 	 0.00188 	-0.37053 	 -0.00159 	-0.35616 	 -0.00257 	-0.37053 	 -0.00048 	 
-0.36729 	 -0.00095 	-0.38161 	 0.00195 	-0.36729 	 0.00828 	-0.35296 	 0.00522 	-0.36729 	 0.00816 	-0.38161 	 0.00141 	-0.36729 	 -0.00201 	-0.35296 	 -0.00286 	-0.36729 	 -0.00095 	 
-0.36401 	 -0.00122 	-0.37828 	 0.00163 	-0.36401 	 0.00861 	-0.34972 	 0.00573 	-0.36401 	 0.00773 	-0.37828 	 0.00091 	-0.36401 	 -0.00250 	-0.34972 	 -0.00306 	-0.36401 	 -0.00122 	 
-0.36067 	 -0.00130 	-0.37490 	 0.00114 	-0.36067 	 0.00858 	-0.34643 	 0.00568 	-0.36067 	 0.00730 	-0.37490 	 0.00061 	-0.36067 	 -0.00303 	-0.34643 	 -0.00327 	-0.36067 	 -0.00130 	 
-0.35730 	 -0.00142 	-0.37148 	 0.00094 	-0.35730 	 0.00825 	-0.34310 	 0.00523 	-0.35730 	 0.00757 	-0.37148 	 0.00026 	-0.35730 	 -0.00349 	-0.34310 	 -0.00353 	-0.35730 	 -0.00142 	 
-0.35387 	 -0.00165 	-0.36801 	 0.00115 	-0.35387 	 0.00770 	-0.33972 	 0.00489 	-0.35387 	 0.00812 	-0.36801 	 -0.00016 	-0.35387 	 -0.00372 	-0.33972 	 -0.00385 	-0.35387 	 -0.00165 	 
-0.35041 	 -0.00193 	-0.36450 	 0.00159 	-0.35041 	 0.00704 	-0.33630 	 0.00496 	-0.35041 	 0.00788 	-0.36450 	 -0.00035 	-0.35041 	 -0.00374 	-0.33630 	 -0.00417 	-0.35041 	 -0.00193 	 
-0.34689 	 -0.00225 	-0.36094 	 0.00204 	-0.34689 	 0.00647 	-0.33283 	 0.00498 	-0.34689 	 0.00679 	-0.36094 	 -0.00039 	-0.34689 	 -0.00383 	-0.33283 	 -0.00445 	-0.34689 	 -0.00225 	 
-0.34333 	 -0.00265 	-0.35733 	 0.00218 	-0.34333 	 0.00619 	-0.32932 	 0.00470 	-0.34333 	 0.00571 	-0.35733 	 -0.00060 	-0.34333 	 -0.00408 	-0.32932 	 -0.00467 	-0.34333 	 -0.00265 	 
-0.33973 	 -0.00314 	-0.35368 	 0.00193 	-0.33973 	 0.00611 	-0.32577 	 0.00430 	-0.33973 	 0.00507 	-0.35368 	 -0.00074 	-0.33973 	 -0.00430 	-0.32577 	 -0.00480 	-0.33973 	 -0.00314 	 
-0.33608 	 -0.00367 	-0.34998 	 0.00146 	-0.33608 	 0.00582 	-0.32217 	 0.00396 	-0.33608 	 0.00479 	-0.34998 	 -0.00072 	-0.33608 	 -0.00431 	-0.32217 	 -0.00490 	-0.33608 	 -0.00367 	 
-0.33239 	 -0.00410 	-0.34623 	 0.00082 	-0.33239 	 0.00526 	-0.31853 	 0.00355 	-0.33239 	 0.00432 	-0.34623 	 -0.00095 	-0.33239 	 -0.00423 	-0.31853 	 -0.00497 	-0.33239 	 -0.00410 	 
-0.32866 	 -0.00435 	-0.34244 	 0.00005 	-0.32866 	 0.00471 	-0.31485 	 0.00308 	-0.32866 	 0.00320 	-0.34244 	 -0.00148 	-0.32866 	 -0.00432 	-0.31485 	 -0.00505 	-0.32866 	 -0.00435 	 
-0.32488 	 -0.00443 	-0.33861 	 -0.00031 	-0.32488 	 0.00435 	-0.31112 	 0.00279 	-0.32488 	 0.00183 	-0.33861 	 -0.00211 	-0.32488 	 -0.00459 	-0.31112 	 -0.00515 	-0.32488 	 -0.00443 	 
-0.32105 	 -0.00435 	-0.33474 	 -0.00020 	-0.32105 	 0.00384 	-0.30736 	 0.00278 	-0.32105 	 0.00126 	-0.33474 	 -0.00267 	-0.32105 	 -0.00484 	-0.30736 	 -0.00528 	-0.32105 	 -0.00435 	 
-0.31719 	 -0.00417 	-0.33081 	 -0.00021 	-0.31719 	 0.00276 	-0.30355 	 0.00281 	-0.31719 	 0.00178 	-0.33081 	 -0.00275 	-0.31719 	 -0.00505 	-0.30355 	 -0.00541 	-0.31719 	 -0.00417 	 
-0.31328 	 -0.00406 	-0.32685 	 -0.00038 	-0.31328 	 0.00164 	-0.29969 	 0.00267 	-0.31328 	 0.00225 	-0.32685 	 -0.00227 	-0.31328 	 -0.00528 	-0.29969 	 -0.00550 	-0.31328 	 -0.00406 	 
-0.30933 	 -0.00414 	-0.32284 	 -0.00041 	-0.30933 	 0.00135 	-0.29580 	 0.00235 	-0.30933 	 0.00183 	-0.32284 	 -0.00173 	-0.30933 	 -0.00537 	-0.29580 	 -0.00550 	-0.30933 	 -0.00414 	 
-0.30534 	 -0.00435 	-0.31879 	 -0.00068 	-0.30534 	 0.00168 	-0.29187 	 0.00201 	-0.30534 	 0.00115 	-0.31879 	 -0.00157 	-0.30534 	 -0.00526 	-0.29187 	 -0.00552 	-0.30534 	 -0.00435 	 
-0.30130 	 -0.00462 	-0.31470 	 -0.00136 	-0.30130 	 0.00178 	-0.28789 	 0.00178 	-0.30130 	 0.00084 	-0.31470 	 -0.00179 	-0.30130 	 -0.00517 	-0.28789 	 -0.00558 	-0.30130 	 -0.00462 	 
-0.29723 	 -0.00490 	-0.31056 	 -0.00148 	-0.29723 	 0.00141 	-0.28388 	 0.00174 	-0.29723 	 0.00081 	-0.31056 	 -0.00198 	-0.29723 	 -0.00523 	-0.28388 	 -0.00556 	-0.29723 	 -0.00490 	 
-0.29311 	 -0.00499 	-0.30639 	 -0.00080 	-0.29311 	 0.00097 	-0.27982 	 0.00199 	-0.29311 	 0.00121 	-0.30639 	 -0.00225 	-0.29311 	 -0.00531 	-0.27982 	 -0.00540 	-0.29311 	 -0.00499 	 
-0.28896 	 -0.00477 	-0.30217 	 -0.00082 	-0.28896 	 0.00059 	-0.27573 	 0.00227 	-0.28896 	 0.00204 	-0.30217 	 -0.00303 	-0.28896 	 -0.00526 	-0.27573 	 -0.00525 	-0.28896 	 -0.00477 	 
-0.28476 	 -0.00442 	-0.29791 	 -0.00215 	-0.28476 	 0.00038 	-0.27160 	 0.00197 	-0.28476 	 0.00269 	-0.29791 	 -0.00339 	-0.28476 	 -0.00511 	-0.27160 	 -0.00515 	-0.28476 	 -0.00442 	 
-0.28053 	 -0.00423 	-0.29361 	 -0.00324 	-0.28053 	 0.00079 	-0.26743 	 0.00124 	-0.28053 	 0.00275 	-0.29361 	 -0.00222 	-0.28053 	 -0.00500 	-0.26743 	 -0.00513 	-0.28053 	 -0.00423 	 
-0.27625 	 -0.00426 	-0.28927 	 -0.00310 	-0.27625 	 0.00144 	-0.26322 	 0.00086 	-0.27625 	 0.00237 	-0.28927 	 -0.00066 	-0.27625 	 -0.00496 	-0.26322 	 -0.00515 	-0.27625 	 -0.00426 	 
