   n        time         Clv         Cdv
       0   300.00030  -0.0002855   0.0046573
       1   300.12530  -0.0003566   0.0048142
       2   300.25030  -0.0003652   0.0047921
       3   300.37530  -0.0003709   0.0047766
       4   300.50020  -0.0003886   0.0047969
       5   300.62530  -0.0003938   0.0047875
       6   300.75030  -0.0004031   0.0047884
       7   300.87520  -0.0004082   0.0047791
       8   301.00020  -0.0004054   0.0047466
       9   301.12520  -0.0003980   0.0047039
      10   301.25030  -0.0003928   0.0046813
      11   301.37520  -0.0003889   0.0046633
      12   301.50030  -0.0003872   0.0046624
      13   301.62530  -0.0003832   0.0046689
      14   301.75020  -0.0003614   0.0046398
      15   301.87530  -0.0003466   0.0046304
      16   302.00020  -0.0003509   0.0046704
      17   302.12520  -0.0003592   0.0047060
      18   302.25030  -0.0003476   0.0046547
      19   302.37520  -0.0003416   0.0046218
      20   302.50030  -0.0003812   0.0047256
      21   302.62530  -0.0004482   0.0049001
      22   302.75020  -0.0004924   0.0049994
      23   302.87530  -0.0005620   0.0051235
      24   303.00030  -0.0007038   0.0054391
      25   303.12530  -0.0008349   0.0057413
      26   303.25020  -0.0009732   0.0060660
      27   303.37520  -0.0011886   0.0065455
      28   303.50030  -0.0013945   0.0069646
      29   303.62530  -0.0015724   0.0073009
      30   303.75030  -0.0017371   0.0076124
      31   303.87530  -0.0019005   0.0079282
      32   304.00020  -0.0019946   0.0081102
      33   304.12530  -0.0020780   0.0082698
      34   304.25020  -0.0021277   0.0083472
      35   304.37520  -0.0021755   0.0084239
      36   304.50030  -0.0021805   0.0084239
      37   304.62520  -0.0021823   0.0084299
      38   304.75020  -0.0022061   0.0084894
      39   304.87520  -0.0021710   0.0084181
      40   305.00030  -0.0021134   0.0083091
      41   305.12530  -0.0020507   0.0081988
      42   305.25030  -0.0019966   0.0081092
      43   305.37530  -0.0019427   0.0080025
      44   305.50030  -0.0018672   0.0078379
      45   305.62520  -0.0017685   0.0076469
      46   305.75020  -0.0016626   0.0074609
      47   305.87530  -0.0015371   0.0072319
      48   306.00020  -0.0013943   0.0069649
      49   306.12530  -0.0012421   0.0066721
      50   306.25030  -0.0010996   0.0064025
      51   306.37530  -0.0009601   0.0061358
      52   306.50020  -0.0008285   0.0058749
      53   306.62520  -0.0006983   0.0056079
      54   306.75020  -0.0005698   0.0053468
      55   306.87530  -0.0004473   0.0051098
      56   307.00020  -0.0003351   0.0049048
      57   307.12530  -0.0002353   0.0047318
      58   307.25030  -0.0001372   0.0045553
      59   307.37520  -0.0000323   0.0043613
      60   307.50020   0.0000794   0.0041605
      61   307.62530   0.0001879   0.0039667
      62   307.75030   0.0002838   0.0037969
      63   307.87520   0.0003671   0.0036554
      64   308.00030   0.0004372   0.0035473
      65   308.12520   0.0004855   0.0034771
      66   308.25030   0.0005186   0.0034338
      67   308.37530   0.0005393   0.0034112
      68   308.50030   0.0005440   0.0034153
      69   308.62530   0.0005365   0.0034517
      70   308.75020   0.0005264   0.0034980
      71   308.87530   0.0005047   0.0035716
      72   309.00030   0.0004741   0.0036617
      73   309.12520   0.0004448   0.0037371
      74   309.25020   0.0004116   0.0038058
      75   309.37530   0.0003693   0.0038808
      76   309.50020   0.0003185   0.0039613
      77   309.62520   0.0002645   0.0040497
      78   309.75030   0.0002232   0.0041157
      79   309.87520   0.0001950   0.0041548
      80   310.00030   0.0001725   0.0041859
      81   310.12530   0.0001601   0.0041941
      82   310.25030   0.0001631   0.0041609
      83   310.37520   0.0001890   0.0040833
      84   310.50030   0.0002513   0.0039228
      85   310.62520   0.0003345   0.0037147
      86   310.75030   0.0004840   0.0033994
      87   310.87530   0.0006234   0.0030888
      88   311.00030   0.0007087   0.0029062
      89   311.12530   0.0007712   0.0027709
      90   311.25030   0.0008388   0.0026412
      91   311.37520   0.0009055   0.0025294
      92   311.50030   0.0009645   0.0024299
      93   311.62530   0.0010063   0.0023638
      94   311.75030   0.0010532   0.0022837
      95   311.87530   0.0010807   0.0022299
      96   312.00020   0.0010834   0.0022202
      97   312.12520   0.0010853   0.0022216
      98   312.25030   0.0010742   0.0022442
      99   312.37530   0.0010571   0.0022643
     100   312.50020   0.0010256   0.0023245
     101   312.62530   0.0009923   0.0024044
     102   312.75030   0.0009543   0.0024972
     103   312.87530   0.0009188   0.0025915
     104   313.00020   0.0008799   0.0027077
     105   313.12520   0.0008339   0.0028267
     106   313.25030   0.0007822   0.0029395
     107   313.37520   0.0007359   0.0030516
     108   313.50020   0.0006939   0.0031558
     109   313.62530   0.0006351   0.0032725
     110   313.75030   0.0005429   0.0034533
     111   313.87530   0.0004345   0.0036726
     112   314.00030   0.0003204   0.0038956
     113   314.12530   0.0001978   0.0041395
     114   314.25020   0.0000805   0.0043767
     115   314.37530  -0.0000721   0.0046813
     116   314.50030  -0.0002082   0.0049555
     117   314.62530  -0.0003583   0.0052469
     118   314.75020  -0.0005183   0.0055452
     119   314.87530  -0.0006567   0.0058010
     120   315.00020  -0.0007687   0.0060050
     121   315.12520  -0.0008757   0.0061899
     122   315.25020  -0.0009778   0.0063660
     123   315.37520  -0.0010704   0.0065168
     124   315.50030  -0.0011369   0.0066202
     125   315.62520  -0.0012016   0.0067144
