   n        time         Clv         Cdv
       0    60.00030  -0.0001709   0.0057583
       1    60.12530  -0.0001757   0.0057432
       2    60.25020  -0.0001833   0.0057534
       3    60.37520  -0.0001765   0.0057291
       4    60.50020  -0.0001763   0.0056891
       5    60.62520  -0.0001813   0.0057005
       6    60.75020  -0.0001731   0.0056945
       7    60.87520  -0.0001788   0.0057007
       8    61.00030  -0.0001704   0.0056682
       9    61.12520  -0.0001769   0.0056960
      10    61.25020  -0.0001735   0.0057014
      11    61.37530  -0.0001598   0.0056661
      12    61.50020  -0.0001589   0.0056239
      13    61.62520  -0.0001694   0.0056588
      14    61.75030  -0.0001498   0.0056328
      15    61.87520  -0.0001378   0.0056226
      16    62.00010  -0.0001513   0.0056381
      17    62.12530  -0.0001533   0.0056367
      18    62.25020  -0.0001492   0.0056168
      19    62.37530  -0.0001497   0.0056370
      20    62.50030  -0.0001583   0.0056672
      21    62.62520  -0.0001670   0.0056519
      22    62.75020  -0.0001552   0.0056134
      23    62.87530  -0.0001553   0.0055815
      24    63.00020  -0.0001612   0.0056119
      25    63.12520  -0.0001645   0.0056023
      26    63.25020  -0.0001633   0.0056171
      27    63.37520  -0.0001535   0.0056076
      28    63.50020  -0.0001580   0.0056411
      29    63.62510  -0.0001734   0.0056766
      30    63.75020  -0.0001952   0.0057176
      31    63.87530  -0.0002091   0.0057517
      32    64.00020  -0.0002075   0.0057285
      33    64.12520  -0.0002162   0.0057499
      34    64.25020  -0.0002282   0.0057765
      35    64.37520  -0.0002344   0.0057815
      36    64.50020  -0.0002445   0.0058045
      37    64.62520  -0.0002391   0.0058037
      38    64.75030  -0.0002323   0.0058021
      39    64.87530  -0.0002159   0.0057595
      40    65.00030  -0.0002135   0.0056960
      41    65.12530  -0.0002237   0.0057077
      42    65.25010  -0.0002203   0.0057333
      43    65.37520  -0.0002228   0.0057390
      44    65.50020  -0.0002447   0.0057950
      45    65.62530  -0.0002649   0.0058091
      46    65.75020  -0.0002849   0.0058329
      47    65.87510  -0.0003054   0.0059040
      48    66.00010  -0.0003115   0.0059221
      49    66.12520  -0.0003142   0.0059232
      50    66.25010  -0.0003225   0.0059404
      51    66.37520  -0.0003316   0.0059533
      52    66.50020  -0.0003360   0.0059516
      53    66.62530  -0.0003390   0.0059601
      54    66.75020  -0.0003472   0.0059682
      55    66.87520  -0.0003554   0.0059654
      56    67.00010  -0.0003476   0.0059587
      57    67.12520  -0.0003494   0.0059706
      58    67.25020  -0.0003635   0.0059742
      59    67.37520  -0.0003685   0.0059816
      60    67.50020  -0.0003767   0.0060103
      61    67.62520  -0.0003768   0.0060099
